index,bd,kl,hi,noise_type,accuracy,brightness_level
0,0.01327707505686497,0.6555057643867515,0.9481679846938778,brightness,98.52,0.1
1,0.015325009037220148,0.8007226412826423,0.9398126275510169,brightness,98.45,0.2
2,0.016057415280485092,0.8747129024855489,0.9358630102040814,brightness,98.17,0.3
3,0.016594475481515495,0.9371876971944726,0.9328057397959204,brightness,97.61,0.4
4,0.016724214172793593,0.9844386998104369,0.9300845663265284,brightness,95.67,0.5
5,0.017111029955416822,1.0192065928471918,0.9286353316326579,brightness,93.84,0.55
6,0.017775635419372816,1.0730872297088265,0.9267280612244887,brightness,90.94,0.6
7,0.01695288224692803,1.0394380444863012,0.927198596938778,brightness,86.73,0.65
8,0.017738038424595873,1.1009978356423502,0.9252656887755113,brightness,82.12,0.7
9,0.01811258694253117,1.1379083917480601,0.9240637755102041,brightness,78.58,0.75
10,0.018458222008494087,1.176077939336624,0.9226737244897977,brightness,74.65,0.8
11,0.01858890006273304,1.1897517371664472,0.9213419642857139,brightness,69.74,0.85
12,0.019043230974955257,1.2374370220172484,0.9199698979591856,brightness,63.03,0.9
13,0.019430422066568222,1.2780867923620034,0.918755229591834,brightness,56.1,0.95
14,0.01832994694949946,1.235352203017991,0.919680102040819,brightness,49.01,1.0
15,0.02005513977645667,1.377176263552154,0.9153455357142828,brightness,35.92,1.1
16,0.020549139974162047,1.4386346526179288,0.9134030612244894,brightness,25.86,1.2
17,0.021528461622428465,1.5312139477132667,0.9102647959183653,brightness,20.03,1.3
18,0.02254877334738262,1.642192461449798,0.9073770408163276,brightness,15.93,1.4
19,0.022934152111106974,1.704442581975125,0.905433163265305,brightness,13.75,1.5
20,0.024052250782968635,1.8132955519006027,0.9022733418367354,brightness,12.26,1.6
21,0.025589913494793455,1.9763512784077444,0.8984313775510167,brightness,10.71,1.7
22,0.027536006888639254,2.190036816898709,0.894057270408158,brightness,9.9,1.8
23,0.029788897818167646,2.422886449818533,0.88897920918367,brightness,9.74,1.9
24,-1.361664558543132,28.617677234325157,0.003284311224489514,brightness,9.74,2.0
